Zipcode,Lat,Lng,City,EstimatedPopulation
7018,40.76,-74.21,"V A Hospital, NJ",19385
7019,40.76,-74.21,"East Orange, NJ",1090
7020,40.82,-73.97,"Edgewater, NJ",8894
8817,40.52,-74.36,"Edison, NJ",39684
8818,40.52,-74.36,"Edison, NJ",689
8820,40.52,-74.36,"Edison, NJ",35691
8837,40.52,-74.36,"Edison, NJ",13761
8837,40.52,-74.36,"Menlo Park, NJ",13761
8899,40.52,-74.36,"Edison, NJ",
7201,40.66,-74.19,"Elizabeth, NJ",19403
7201,40.66,-74.19,"Betsytown, NJ",19403
7201,40.66,-74.19,"Peterstown, NJ",19403
7201,40.66,-74.19,"Union Square, NJ",19403
7202,40.66,-74.19,"Elizabeth, NJ",29174
7202,40.66,-74.19,"Bayway, NJ",29174
7202,40.66,-74.19,"Elmora, NJ",29174
7202,40.66,-74.19,"Parkandbush, NJ",29174
7203,40.65,-74.26,"Roselle, NJ",17452
7204,40.66,-74.26,"Roselle Park, NJ",11435
7205,40.69,-74.23,"Hillside, NJ",18782
7205,40.69,-74.23,"Ind Hillside, NJ",18782
7205,40.69,-74.23,"Industrial Hillside, NJ",18782
7206,40.66,-74.19,"Elizabethport, NJ",18980
7206,40.66,-74.19,"Elizabeth, NJ",18980
7207,40.66,-74.19,"Elizabeth, NJ",2167
7208,40.66,-74.19,"Elizabeth, NJ",24374
7208,40.66,-74.19,"North Elizabeth, NJ",24374
7407,40.9,-74.11,"Elmwood Park, NJ",17030
7630,40.97,-74.02,"Emerson, NJ",6374
7631,40.89,-73.97,"Englewood, NJ",21826
7632,40.88,-73.94,"Englewood Cliffs, NJ",5088
7632,40.88,-73.94,"Englewd Clfs, NJ",5088
7632,40.88,-73.94,"Englewood, NJ",5088
7021,40.82,-74.28,"Essex Fells, NJ",2007
7410,40.93,-74.11,"Fair Lawn, NJ",29095
7410,40.93,-74.11,"Fairlawn, NJ",29095
7410,40.93,-74.11,"Radburn, NJ",29095
7022,40.81,-74,"Fairview, NJ",9349
7023,40.64,-74.38,"Fanwood, NJ",6663
7931,40.69,-74.62,"Far Hills, NJ",3060
8821,40.51,-74.67,"Flagtown, NJ",452
7836,40.84,-74.7,"Flanders, NJ",10541
7836,40.84,-74.7,"Roxbury Township, NJ",10541
7836,40.84,-74.7,"Roxbury Twp, NJ",10541
8822,40.5,-74.86,"Flemington, NJ",27375
7932,40.77,-74.39,"Florham Park, NJ",9267
7024,40.85,-73.97,"Fort Lee, NJ",29968
7024,40.85,-73.97,"Palisade, NJ",29968
7024,40.85,-73.97,"West Fort Lee, NJ",29968
7416,41.11,-74.58,"Franklin, NJ",4804
7416,41.11,-74.58,"Beaver Lake, NJ",4804
7417,41,-74.2,"Franklin Lakes, NJ",9986
7417,41,-74.2,"Franklin Lks, NJ",9986
8823,40.44,-74.54,"Franklin Park, NJ",8014
8825,40.52,-75.05,"Frenchtown, NJ",3829
7026,40.87,-74.1,"Garfield, NJ",25066
7026,40.87,-74.1,"Outwater, NJ",25066
7026,40.87,-74.1,"Ritz, NJ",25066
7027,40.65,-74.32,"Garwood, NJ",3694
7933,40.7,-74.47,"Gillette, NJ",2952
7934,40.72,-74.67,"Gladstone, NJ",1371
7837,40.98,-74.63,"Glasser, NJ",
8826,40.69,-74.94,"Glen Gardner, NJ",4916
7028,40.8,-74.2,"Glen Ridge, NJ",6868
7418,41.24,-74.48,"Glenwood, NJ",2288
7838,40.84,-74.94,"Great Meadows, NJ",3106
7839,40.97,-74.81,"Greendell, NJ",
7935,40.74,-74.45,"Green Village, NJ",529
7601,40.88,-74.04,"Hackensack, NJ",34232
7601,40.88,-74.04,"Hack, NJ",34232
7602,40.88,-74.04,"Hackensack, NJ",
7603,40.87,-74.02,"Bogota, NJ",6889
7604,40.86,-74.07,"Hasbrouck Heights, NJ",10360
7604,40.86,-74.07,"Hasbrouck Hts, NJ",10360
7605,40.86,-73.99,"Leonia, NJ",7589
7606,40.86,-74.04,"South Hackensack, NJ",2270
7606,40.86,-74.04,"S Hackensack, NJ",2270
7607,40.9,-74.06,"Maywood, NJ",8372
7608,40.85,-74.06,"Teterboro, NJ",
7699,40.85,-74.06,"Teterboro, NJ",
7699,40.85,-74.06,"Nnj Metro P&dc, NJ",
7840,40.85,-74.82,"Hackettstown, NJ",24882
7840,40.85,-74.82,"Allamuchy Twp, NJ",24882
7419,41.14,-74.57,"Hamburg, NJ",7852
7419,41.14,-74.57,"Hardyston, NJ",7852
8827,40.7,-74.96,"Hampton, NJ",4096
7640,40.98,-73.98,"Harrington Park, NJ",4361
7640,40.98,-73.98,"Harrington Pk, NJ",4361
7029,40.74,-74.15,"Harrison, NJ",13420
7029,40.74,-74.15,"East Newark, NJ",13420
7420,41.02,-74.3,"Haskell, NJ",4023
7641,40.96,-73.99,"Haworth, NJ",3115
8828,40.37,-74.42,"Helmetta, NJ",1927
7421,41.16,-74.35,"Hewitt, NJ",6615
7421,41.16,-74.35,"Awosting, NJ",6615
7421,41.16,-74.35,"Greenwood Lake, NJ",6615
7421,41.16,-74.35,"Upper Greenwood Lake, NJ",6615
7842,40.96,-74.48,"Hibernia, NJ",
8829,40.66,-74.89,"High Bridge, NJ",3328
7422,41.17,-74.44,"Highland Lakes, NJ",6178
7422,41.17,-74.44,"Highland Lks, NJ",6178
7422,41.17,-74.44,"Barry Lakes, NJ",6178
8844,40.47,-74.62,"Hillsborough, NJ",34693
8844,40.47,-74.62,"Millstone, NJ",34693
7642,41,-74.04,"Hillsdale, NJ",9206
7676,40.98,-74.06,"Township Of Washington, NJ",8290
7676,40.98,-74.06,"Twp Washingtn, NJ",8290
7676,40.98,-74.06,"Twp Washinton, NJ",8290
7676,40.98,-74.06,"Washington Twps, NJ",8290
7676,40.98,-74.06,"Hillsdale, NJ",8290
7676,40.98,-74.06,"Washington Tnshp, NJ",8290
7676,40.98,-74.06,"Washington Township, NJ",8290
7676,40.98,-74.06,"Washington Twnshp, NJ",8290
7676,40.98,-74.06,"Washington Twp, NJ",8290
7676,40.98,-74.06,"Washington Twsp, NJ",8290
7030,40.74,-74.02,"Hoboken, NJ",37267
7030,40.74,-74.02,"Castle Point, NJ",37267
7030,40.74,-74.02,"Uptown, NJ",37267
7030,40.74,-74.02,"Washington Street, NJ",37267
7423,40.99,-74.09,"Ho Ho Kus, NJ",3722
7843,40.95,-74.65,"Hopatcong, NJ",10538
7844,40.91,-74.96,"Hope, NJ",603
7845,40.85,-74.57,"Ironia, NJ",
8830,40.57,-74.31,"Iselin, NJ",17210
8831,40.34,-74.44,"Monroe Township, NJ",41128
8831,40.34,-74.44,"Jamesburg, NJ",41128
8831,40.34,-74.44,"Monroe, NJ",41128
8831,40.34,-74.44,"Monroe Twp, NJ",41128
7097,40.71,-74.06,"Jersey City, NJ",
7097,40.71,-74.06,"Nj International And Bmc, NJ",
7302,40.71,-74.06,"Jersey City, NJ",28393
7303,40.71,-74.06,"Jersey City, NJ",1707
7304,40.71,-74.06,"Jersey City, NJ",31180
7305,40.71,-74.06,"Jersey City, NJ",46569
7305,40.71,-74.06,"Ellis Island, NJ",46569
7305,40.71,-74.06,"Greenville, NJ",46569
7306,40.71,-74.06,"Jersey City, NJ",39173
7307,40.71,-74.06,"Jersey City, NJ",34041
7308,40.71,-74.06,"Jersey City, NJ",
7308,40.71,-74.06,"Five Corners, NJ",
7310,40.71,-74.06,"Jersey City, NJ",9640
7311,40.71,-74.06,"Jersey City, NJ",430
7395,40.72,-74.08,"Jersey City, NJ",
7395,40.72,-74.08,"New Jersey Bmc, NJ",
7399,40.71,-74.06,"Jersey City, NJ",
7399,40.71,-74.06,"Pershing, NJ",
7846,40.96,-74.88,"Johnsonburg, NJ",
7031,40.79,-74.12,"North Arlington, NJ",13771
7031,40.79,-74.12,"N Arlington, NJ",13771
7032,40.75,-74.11,"Kearny, NJ",31241
7032,40.75,-74.11,"Arlington, NJ",31241
7032,40.75,-74.11,"South Kearny, NJ",31241
7032,40.75,-74.11,"West Arlington, NJ",31241
7099,40.75,-74.11,"Kearny, NJ",
7099,40.75,-74.11,"Dominick V Daniels, NJ",
8832,40.51,-74.31,"Keasbey, NJ",2437
8824,40.41,-74.56,"Kendall Park, NJ",11637
7033,40.67,-74.28,"Kenilworth, NJ",7022
7847,40.88,-74.62,"Kenvil, NJ",1520
7848,41.09,-74.68,"Lafayette, NJ",3917
7034,40.88,-74.38,"Lake Hiawatha, NJ",8365
7034,40.88,-74.38,"Lk Hiawatha, NJ",8365
7849,40.96,-74.61,"Lake Hopatcong, NJ",7845
7849,40.96,-74.61,"Lk Hopatcong, NJ",7845
7850,40.9,-74.66,"Landing, NJ",5877
7851,41.21,-74.82,"Layton, NJ",
7851,41.21,-74.82,"Sandyston, NJ",
8833,40.64,-74.83,"Lebanon, NJ",8101
7852,40.88,-74.66,"Ledgewood, NJ",3257
7938,40.68,-74.56,"Liberty Corner, NJ",
7938,40.68,-74.56,"Liberty Cor, NJ",
7035,40.92,-74.3,"Lincoln Park, NJ",9191
7036,40.62,-74.23,"Linden, NJ",35142
7036,40.62,-74.23,"Winfield Park, NJ",35142
7036,40.62,-74.23,"Tremley, NJ",35142
7036,40.62,-74.23,"Tremley Point, NJ",35142
7424,40.87,-74.21,"Little Falls, NJ",20128
7424,40.87,-74.21,"West Paterson, NJ",20128
7424,40.87,-74.21,"Woodland Park, NJ",20128
7424,40.87,-74.21,"Great Notch, NJ",20128
7424,40.87,-74.21,"Singac, NJ",20128
7424,40.87,-74.21,"W Paterson, NJ",20128
7643,40.84,-74.03,"Little Ferry, NJ",8899
8834,40.6,-75.05,"Little York, NJ",
7039,40.78,-74.32,"Livingston, NJ",27160
7644,40.87,-74.08,"Lodi, NJ",19903
7853,40.78,-74.76,"Long Valley, NJ",11904
7428,41.2,-74.55,"Mc Afee, NJ",514
7428,41.2,-74.55,"Mcafee, NJ",514
7940,40.75,-74.41,"Madison, NJ",12693
7430,41.08,-74.18,"Mahwah, NJ",21442
7495,41.08,-74.18,"Mahwah, NJ",
8835,40.54,-74.58,"Manville, NJ",8927
7040,40.73,-74.27,"Maplewood, NJ",20973
7040,40.73,-74.27,"Maplecrest, NJ",20973
8836,40.6,-74.56,"Martinsville, NJ",3670
7945,40.76,-74.59,"Mendham, NJ",9193
7945,40.76,-74.59,"Mendham Twsp, NJ",9193
8840,40.54,-74.36,"Metuchen, NJ",15163
8846,40.57,-74.5,"Middlesex, NJ",12094
7855,41.06,-74.89,"Middleville, NJ",
7432,40.99,-74.14,"Midland Park, NJ",6264
7432,40.99,-74.14,"Midland Pk, NJ",6264
8848,40.56,-75.09,"Milford, NJ",7470
7041,40.74,-74.32,"Millburn, NJ",6225
7946,40.66,-74.51,"Millington, NJ",2970
8850,40.45,-74.43,"Milltown, NJ",7643
8852,40.38,-74.54,"Monmouth Junction, NJ",14675
8852,40.38,-74.54,"Monmouth Jct, NJ",14675
7042,40.82,-74.21,"Montclair, NJ",21177
7043,40.82,-74.21,"Montclair, NJ",10966
7043,40.82,-74.21,"Upper Montclair, NJ",10966
7043,40.82,-74.21,"Upr Montclair, NJ",10966
7044,40.83,-74.24,"Verona, NJ",11979
7645,41.05,-74.04,"Montvale, NJ",7226
7045,40.9,-74.36,"Montville, NJ",9442
7045,40.9,-74.36,"Lower Montville, NJ",9442
7045,40.9,-74.36,"Montville Township, NJ",9442
7950,40.83,-74.48,"Morris Plains, NJ",17593
7950,40.83,-74.48,"Greystone Park, NJ",17593
7950,40.83,-74.48,"Greystone Pk, NJ",17593
7960,40.79,-74.47,"Morristown, NJ",33647
7961,40.79,-74.47,"Convent Station, NJ",
7961,40.79,-74.47,"Convent Sta, NJ",
7961,40.79,-74.47,"Morristown, NJ",
7962,40.79,-74.47,"Morristown, NJ",
7963,40.79,-74.47,"Morristown, NJ",
7046,40.89,-74.44,"Mountain Lakes, NJ",3888
7046,40.89,-74.44,"Mountain Lks, NJ",3888
7856,40.91,-74.64,"Mount Arlington, NJ",3426
7856,40.91,-74.64,"Mt Arlington, NJ",3426
7970,40.84,-74.48,"Mount Freedom, NJ",
8853,40.49,-74.73,"Neshanic Station, NJ",4879
8853,40.49,-74.73,"Branchburg, NJ",4879
8853,40.49,-74.73,"Neshanic Sta, NJ",4879
7857,40.89,-74.7,"Netcong, NJ",2788
7101,40.72,-74.17,"Newark, NJ",1640
7102,40.72,-74.17,"Newark, NJ",5503
7102,40.72,-74.17,"Academy, NJ",5503
7102,40.72,-74.17,"Midtown, NJ",5503
7102,40.72,-74.17,"Washington Park, NJ",5503
7103,40.72,-74.17,"Newark, NJ",20135
7104,40.72,-74.17,"Newark, NJ",35277
7105,40.72,-74.17,"Newark, NJ",29429
7105,40.72,-74.17,"Ironbound, NJ",29429
7106,40.72,-74.17,"Newark, NJ",22439
7106,40.72,-74.17,"Vailsburg, NJ",22439
7107,40.72,-74.17,"Newark, NJ",25902
7107,40.72,-74.17,"Roseville, NJ",25902
7108,40.72,-74.17,"Newark, NJ",15957
7109,40.79,-74.16,"Belleville, NJ",30299
7110,40.81,-74.15,"Nutley, NJ",25001
7111,40.72,-74.23,"Irvington, NJ",41875
7111,40.72,-74.23,"Township Of Irvington, NJ",41875
7112,40.72,-74.17,"Newark, NJ",19082
7112,40.72,-74.17,"Weequahic, NJ",19082
7114,40.72,-74.17,"Newark, NJ",6170
7175,40.72,-74.17,"Newark, NJ",
7175,40.72,-74.17,"Usps, NJ",
7184,40.72,-74.17,"Newark, NJ",
7184,40.72,-74.17,"Cenlar Bank, NJ",
7188,40.72,-74.17,"Newark, NJ",
7188,40.72,-74.17,"Jp Morgan Chase, NJ",
7189,40.72,-74.17,"Newark, NJ",
7189,40.72,-74.17,"Bank Of America, NJ",
7191,40.72,-74.17,"Newark, NJ",
7191,40.72,-74.17,"Wachovia Bank, NJ",
7192,40.72,-74.17,"Newark, NJ",
7192,40.72,-74.17,"Wachovia Bnk, NJ",
7193,40.72,-74.17,"Newark, NJ",
7193,40.72,-74.17,"J P Morgan Chase, NJ",
7195,40.72,-74.17,"Newark, NJ",
7195,40.72,-74.17,"The Bank Of New York, NJ",
7198,40.72,-74.17,"Newark, NJ",
7198,40.72,-74.17,"Bank Of New York, NJ",
7199,40.72,-74.17,"Newark, NJ",
7199,40.72,-74.17,"Merrill Lynch Inc, NJ",
8901,40.48,-74.44,"New Brunswick, NJ",28187
8902,40.45,-74.48,"North Brunswick, NJ",34952
8902,40.45,-74.48,"N Brunswick, NJ",34952
8902,40.45,-74.48,"New Brunswick, NJ",34952
8903,40.48,-74.44,"New Brunswick, NJ",1450
8904,40.5,-74.42,"Highland Park, NJ",11275
8904,40.5,-74.42,"New Brunswick, NJ",11275
8905,40.48,-74.44,"New Brunswick, NJ",
8905,40.48,-74.44,"Wachovia, NJ",
8906,40.48,-74.44,"New Brunswick, NJ",
8906,40.48,-74.44,"Kilmer Gmf, NJ",
8933,40.48,-74.44,"New Brunswick, NJ",
8933,40.48,-74.44,"Johnson & Johnson, NJ",
8989,40.48,-74.44,"New Brunswick, NJ",
8989,40.48,-74.44,"Merrill Lynch, NJ",
7435,41.07,-74.42,"Newfoundland, NJ",2314
7435,41.07,-74.42,"Green Pond, NJ",2314
7435,41.07,-74.42,"Greenpond, NJ",2314
7646,40.93,-74.01,"New Milford, NJ",14165
7646,40.93,-74.01,"N Milford, NJ",14165
7974,40.7,-74.4,"New Providence, NJ",10648
7974,40.7,-74.4,"New Providnce, NJ",10648
7974,40.7,-74.4,"Murray Hill, NJ",10648
7860,41.05,-74.75,"Newton, NJ",21086
7860,41.05,-74.75,"Fredon, NJ",21086
7860,41.05,-74.75,"Fredon Township, NJ",21086
7860,41.05,-74.75,"Fredon Twp, NJ",21086
7976,40.73,-74.48,"New Vernon, NJ",1310
7047,40.79,-74.02,"North Bergen, NJ",45454
7047,40.79,-74.02,"Tyler Park, NJ",45454
7047,40.79,-74.02,"Woodcliff, NJ",45454
7647,41,-73.95,"Northvale, NJ",4171
7647,41,-73.95,"Rockleigh, NJ",4171
7648,40.99,-73.95,"Norwood, NJ",5033
7436,41.03,-74.24,"Oakland, NJ",11508
7438,41.04,-74.48,"Oak Ridge, NJ",10328
7438,41.04,-74.48,"Cozy Lake, NJ",10328
7438,41.04,-74.48,"Jefferson Township, NJ",10328
7438,41.04,-74.48,"Jefferson Twp, NJ",10328
7438,41.04,-74.48,"Lake Swannanoa, NJ",10328
7439,41.07,-74.59,"Ogdensburg, NJ",2250
8857,40.39,-74.33,"Old Bridge, NJ",34538
8858,40.66,-74.74,"Oldwick, NJ",695
7649,40.95,-74.03,"Oradell, NJ",7355
7050,40.76,-74.23,"Orange, NJ",22984
7051,40.76,-74.23,"Orange, NJ",616
7052,40.79,-74.26,"West Orange, NJ",39097
7052,40.79,-74.26,"Town Center, NJ",39097
7863,40.81,-74.99,"Oxford, NJ",3674
7650,40.84,-73.99,"Palisades Park, NJ",13274
7650,40.84,-73.99,"Palisades Pk, NJ",13274
7652,40.94,-74.07,"Paramus, NJ",22875
7653,40.94,-74.07,"Paramus, NJ",
7656,41.03,-74.04,"Park Ridge, NJ",7922
8859,40.45,-74.3,"Parlin, NJ",20576
7054,40.85,-74.4,"Parsippany, NJ",26016
7054,40.85,-74.4,"Parsippany Troy Hills, NJ",26016
7054,40.85,-74.4,"Troy Hills, NJ",26016
7055,40.85,-74.12,"Passaic, NJ",51244
7055,40.85,-74.12,"Dundee, NJ",51244
7055,40.85,-74.12,"Passaic Park, NJ",51244
7057,40.85,-74.1,"Wallington, NJ",9893
7501,40.91,-74.16,"Paterson, NJ",22824
7502,40.91,-74.16,"Paterson, NJ",12805
7502,40.91,-74.16,"Totowa, NJ",12805
7502,40.91,-74.16,"Hillcrest, NJ",12805
7503,40.91,-74.16,"Paterson, NJ",14649
7503,40.91,-74.16,"South Paterson, NJ",14649
7504,40.91,-74.16,"Paterson, NJ",10707
7505,40.91,-74.16,"Paterson, NJ",1388
7506,40.95,-74.15,"Hawthorne, NJ",16150
7507,40.95,-74.15,"Hawthorne, NJ",
7508,40.93,-74.18,"Haledon, NJ",19084
7508,40.93,-74.18,"North Haledon, NJ",19084
7508,40.93,-74.18,"Paterson, NJ",19084
7508,40.93,-74.18,"Prospect Park, NJ",19084
7508,40.93,-74.18,"Prospect Pk, NJ",19084
7509,40.91,-74.16,"Paterson, NJ",1738
7510,40.91,-74.16,"Paterson, NJ",
7511,40.9,-74.22,"Totowa, NJ",
7511,40.9,-74.22,"Paterson, NJ",
7512,40.9,-74.22,"Totowa, NJ",9063
7512,40.9,-74.22,"Paterson, NJ",9063
7512,40.9,-74.22,"Totowa Boro, NJ",9063
7513,40.91,-74.16,"Paterson, NJ",9915
7513,40.91,-74.16,"Peoples Park, NJ",9915
7514,40.91,-74.16,"Paterson, NJ",14312
7522,40.91,-74.16,"Paterson, NJ",15644
7524,40.91,-74.16,"Paterson, NJ",9948
7533,40.91,-74.16,"Paterson, NJ",
7533,40.91,-74.16,"South Paterson, NJ",
7538,40.93,-74.18,"Haledon, NJ",
7538,40.93,-74.18,"Paterson, NJ",
7538,40.93,-74.18,"North Haledon, NJ",
7538,40.93,-74.18,"Prospect Park, NJ",
7543,40.91,-74.16,"Paterson, NJ",
7543,40.91,-74.16,"Peoples Park, NJ",
7544,40.91,-74.16,"Paterson, NJ",669
7977,40.7,-74.66,"Peapack, NJ",845
7440,40.94,-74.29,"Pequannock, NJ",4127
7440,40.94,-74.29,"Pequannock Township, NJ",4127
8861,40.52,-74.27,"Perth Amboy, NJ",41825
8861,40.52,-74.27,"Hopelawn, NJ",41825
8862,40.52,-74.27,"Perth Amboy, NJ",1430
8863,40.54,-74.31,"Fords, NJ",11015
8863,40.54,-74.31,"Perth Amboy, NJ",11015
8865,40.68,-75.18,"Phillipsburg, NJ",24138
8865,40.68,-75.18,"Alpha, NJ",24138
8865,40.68,-75.18,"Delaware Park, NJ",24138
8865,40.68,-75.18,"Harmony Township, NJ",24138
8865,40.68,-75.18,"Lopatcong, NJ",24138
7058,40.86,-74.34,"Pine Brook, NJ",5037
7058,40.86,-74.34,"Pinebrook, NJ",5037
8854,40.51,-74.45,"Piscataway, NJ",43472
8855,40.51,-74.45,"Piscataway, NJ",428
8867,40.57,-74.96,"Pittstown, NJ",4651
7059,40.63,-74.51,"Warren, NJ",14590
